algorithm,num_layers,hidden_size,train_size,seed,epoch,train_loss,test_acc,wall_time_s
BP,4,256,100,0,23,0.004242,0.7134,6.71
BP,4,256,100,0,24,0.003827,0.714,7.0
BP,4,256,100,0,25,0.003666,0.7133,7.3
BP,4,256,100,0,26,0.003439,0.7131,7.59
BP,4,256,100,0,27,0.003175,0.7135,8.35
BP,4,256,100,0,28,0.00305,0.7136,8.64
BP,4,256,100,0,29,0.002809,0.7147,8.93
BP,4,256,100,0,30,0.002591,0.7152,9.22
BP,4,256,100,1,1,2.243277,0.5293,0.29
BP,4,256,100,1,2,1.894137,0.5557,0.59
BP,4,256,100,1,3,1.425641,0.575,0.88
BP,4,256,100,1,4,1.030345,0.5959,1.18
BP,4,256,100,1,5,0.721113,0.6486,1.47
BP,4,256,100,1,6,0.51277,0.6693,1.76
BP,4,256,100,1,7,0.376385,0.6766,2.05
BP,4,256,100,1,8,0.253307,0.7051,2.34
BP,4,256,100,1,9,0.173861,0.7078,2.63
BP,4,256,100,1,10,0.13319,0.7084,2.93
BP,4,256,100,1,11,0.097882,0.7143,3.22
BP,4,256,100,1,12,0.06281,0.7177,3.52
BP,4,256,100,1,13,0.042843,0.7271,3.81
BP,4,256,100,1,14,0.027969,0.7319,4.11
BP,4,256,100,1,15,0.0203,0.7289,4.4
BP,4,256,100,1,16,0.016425,0.7238,4.69
BP,4,256,100,1,17,0.014053,0.7248,4.98
BP,4,256,100,1,18,0.011055,0.7245,5.28
BP,4,256,100,1,19,0.009311,0.724,5.57
BP,4,256,100,1,20,0.007878,0.7217,5.87
BP,4,256,100,1,21,0.006616,0.7208,6.16
BP,4,256,100,1,22,0.005994,0.7208,6.46
BP,4,256,100,1,23,0.005429,0.7207,6.75
BP,4,256,100,1,24,0.004859,0.722,7.05
BP,4,256,100,1,25,0.00437,0.7235,7.36
BP,4,256,100,1,26,0.004042,0.725,7.65
BP,4,256,100,1,27,0.00367,0.7258,7.95
BP,4,256,100,1,28,0.003375,0.7268,8.24
BP,4,256,100,1,29,0.003151,0.7279,8.53
BP,4,256,100,1,30,0.003011,0.7285,8.83
BP,4,256,100,2,1,2.256303,0.3506,0.3
BP,4,256,100,2,2,1.874791,0.4618,0.59
BP,4,256,100,2,3,1.501686,0.5397,0.89
BP,4,256,100,2,4,1.087377,0.6195,1.19
BP,4,256,100,2,5,0.827285,0.6697,1.48
BP,4,256,100,2,6,0.550395,0.6874,1.78
BP,4,256,100,2,7,0.416605,0.7018,2.08
BP,4,256,100,2,8,0.30546,0.7102,2.38
BP,4,256,100,2,9,0.202031,0.7134,2.68
BP,4,256,100,2,10,0.124059,0.7179,2.97
BP,4,256,100,2,11,0.084583,0.7246,3.27
BP,4,256,100,2,12,0.052833,0.732,3.57
BP,4,256,100,2,13,0.035513,0.7318,3.87
BP,4,256,100,2,14,0.025296,0.7288,4.17
BP,4,256,100,2,15,0.018118,0.7275,4.46
BP,4,256,100,2,16,0.01322,0.723,4.76
BP,4,256,100,2,17,0.010518,0.7196,5.06
BP,4,256,100,2,18,0.008221,0.7187,5.35
BP,4,256,100,2,19,0.007214,0.7193,5.65
BP,4,256,100,2,20,0.005963,0.7215,5.95
BP,4,256,100,2,21,0.005156,0.7229,6.25
BP,4,256,100,2,22,0.004455,0.7249,6.54
BP,4,256,100,2,23,0.004034,0.7257,6.84
BP,4,256,100,2,24,0.003713,0.7273,7.14
BP,4,256,100,2,25,0.003274,0.728,7.44
BP,4,256,100,2,26,0.003199,0.7288,7.73
BP,4,256,100,2,27,0.002823,0.729,8.03
BP,4,256,100,2,28,0.002711,0.7287,8.33
BP,4,256,100,2,29,0.002522,0.7283,8.63
BP,4,256,100,2,30,0.002404,0.7282,8.93
BP,4,256,500,0,1,1.866347,0.6643,0.32
BP,4,256,500,0,2,0.910986,0.7862,0.64
BP,4,256,500,0,3,0.501207,0.8279,0.95
BP,4,256,500,0,4,0.311661,0.842,1.27
BP,4,256,500,0,5,0.193942,0.8395,1.58
BP,4,256,500,0,6,0.131945,0.8379,1.9
BP,4,256,500,0,7,0.081341,0.8585,2.21
BP,4,256,500,0,8,0.045458,0.8613,2.53
BP,4,256,500,0,9,0.032886,0.8608,2.85
BP,4,256,500,0,10,0.023852,0.8673,3.17
BP,4,256,500,0,11,0.013911,0.8577,3.48
BP,4,256,500,0,12,0.010093,0.8625,3.8
BP,4,256,500,0,13,0.007774,0.8702,4.12
BP,4,256,500,0,14,0.00602,0.8667,4.43
BP,4,256,500,0,15,0.004924,0.8645,4.75
BP,4,256,500,0,16,0.004291,0.8677,5.06
BP,4,256,500,0,17,0.00378,0.8699,5.38
BP,4,256,500,0,18,0.003439,0.8685,5.69
BP,4,256,500,0,19,0.003107,0.868,6.01
BP,4,256,500,0,20,0.002861,0.8689,6.32
BP,4,256,500,0,21,0.002664,0.8686,6.64
BP,4,256,500,0,22,0.002471,0.8689,6.95
BP,4,256,500,0,23,0.002302,0.8688,7.26
BP,4,256,500,0,24,0.002171,0.8689,7.58
BP,4,256,500,0,25,0.002033,0.8697,7.89
BP,4,256,500,0,26,0.001904,0.8693,8.21
BP,4,256,500,0,27,0.001806,0.8692,8.53
BP,4,256,500,0,28,0.001718,0.8693,8.85
BP,4,256,500,0,29,0.001615,0.8695,9.16
BP,4,256,500,0,30,0.001535,0.8695,9.48
BP,4,256,500,1,1,1.885811,0.6524,0.32
BP,4,256,500,1,2,0.950375,0.804,0.63
BP,4,256,500,1,3,0.546768,0.8159,0.95
BP,4,256,500,1,4,0.342154,0.8185,1.27
BP,4,256,500,1,5,0.225301,0.8417,1.59
BP,4,256,500,1,6,0.13934,0.8471,1.95
BP,4,256,500,1,7,0.085406,0.844,2.32
BP,4,256,500,1,8,0.044642,0.8619,2.64
BP,4,256,500,1,9,0.027423,0.872,2.96
BP,4,256,500,1,10,0.016785,0.8686,3.28
BP,4,256,500,1,11,0.012166,0.8668,3.59
BP,4,256,500,1,12,0.008403,0.8708,3.91
BP,4,256,500,1,13,0.007124,0.8713,4.22
BP,4,256,500,1,14,0.005806,0.871,4.54
BP,4,256,500,1,15,0.005075,0.8703,4.86
BP,4,256,500,1,16,0.004499,0.8719,5.18
BP,4,256,500,1,17,0.004044,0.8715,5.49
BP,4,256,500,1,18,0.003676,0.8706,5.81
BP,4,256,500,1,19,0.003337,0.8701,6.13
BP,4,256,500,1,20,0.003091,0.8712,6.44
BP,4,256,500,1,21,0.002849,0.871,6.76
BP,4,256,500,1,22,0.002637,0.8708,7.08
BP,4,256,500,1,23,0.002457,0.8709,7.4
BP,4,256,500,1,24,0.002296,0.8708,7.71
