algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_energy,test_acc,wall_time_s
PC,2,256,500,1,50,19,131.356097,0.788,56.87
PC,2,256,500,1,50,20,131.594126,0.771,63.59
PC,2,256,500,1,50,21,131.596181,0.771,65.9
PC,2,256,500,1,50,22,131.048169,0.771,68.19
PC,2,256,500,1,50,23,131.957977,0.771,70.49
PC,2,256,500,1,50,24,130.997601,0.771,72.79
PC,2,256,500,1,50,25,130.765508,0.758,79.46
PC,2,256,500,1,50,26,130.456237,0.758,81.76
PC,2,256,500,1,50,27,130.564925,0.758,84.05
PC,2,256,500,1,50,28,130.362182,0.758,86.35
PC,2,256,500,1,50,29,130.853551,0.758,88.64
PC,2,256,500,1,50,30,130.344728,0.761,95.32
PC,2,256,500,2,10,1,220.746782,,0.68
PC,2,256,500,2,10,2,185.11615,,1.37
PC,2,256,500,2,10,3,173.733586,,2.06
PC,2,256,500,2,10,4,167.514542,,2.74
PC,2,256,500,2,10,5,163.423239,0.759,4.36
PC,2,256,500,2,10,6,160.335503,0.759,5.04
PC,2,256,500,2,10,7,158.041299,0.759,5.72
PC,2,256,500,2,10,8,156.081229,0.759,6.4
PC,2,256,500,2,10,9,154.548624,0.759,7.09
PC,2,256,500,2,10,10,153.214754,0.743,8.69
PC,2,256,500,2,10,11,152.060524,0.743,9.37
PC,2,256,500,2,10,12,151.052948,0.743,10.05
PC,2,256,500,2,10,13,150.246676,0.743,10.74
PC,2,256,500,2,10,14,149.511254,0.743,11.42
PC,2,256,500,2,10,15,148.846789,0.719,13.02
PC,2,256,500,2,10,16,148.200454,0.719,13.7
PC,2,256,500,2,10,17,147.666262,0.719,14.38
PC,2,256,500,2,10,18,147.181641,0.719,15.07
PC,2,256,500,2,10,19,146.783026,0.719,15.75
PC,2,256,500,2,10,20,146.365687,0.726,17.35
PC,2,256,500,2,10,21,146.044376,0.726,18.03
PC,2,256,500,2,10,22,145.754629,0.726,18.71
PC,2,256,500,2,10,23,145.427493,0.726,19.39
PC,2,256,500,2,10,24,145.283623,0.726,20.08
PC,2,256,500,2,10,25,145.014947,0.696,21.7
PC,2,256,500,2,10,26,144.782819,0.696,22.39
PC,2,256,500,2,10,27,144.533472,0.696,23.07
PC,2,256,500,2,10,28,144.405167,0.696,23.75
PC,2,256,500,2,10,29,144.236662,0.696,24.43
PC,2,256,500,2,10,30,144.059609,0.691,26.05
PC,2,256,500,2,20,1,209.918407,,1.09
PC,2,256,500,2,20,2,174.747875,,2.18
PC,2,256,500,2,20,3,163.734484,,3.26
PC,2,256,500,2,20,4,157.459677,,4.35
PC,2,256,500,2,20,5,153.260604,0.772,7.23
PC,2,256,500,2,20,6,150.175444,0.772,8.31
PC,2,256,500,2,20,7,147.810871,0.772,9.4
PC,2,256,500,2,20,8,145.916558,0.772,10.48
PC,2,256,500,2,20,9,144.364186,0.772,11.57
PC,2,256,500,2,20,10,143.063237,0.781,14.47
PC,2,256,500,2,20,11,142.003647,0.781,15.55
PC,2,256,500,2,20,12,141.025303,0.781,16.64
PC,2,256,500,2,20,13,140.321893,0.781,17.73
PC,2,256,500,2,20,14,139.738703,0.781,18.81
PC,2,256,500,2,20,15,139.168477,0.777,21.72
PC,2,256,500,2,20,16,138.818144,0.777,22.8
PC,2,256,500,2,20,17,138.430161,0.777,23.89
PC,2,256,500,2,20,18,138.068307,0.777,24.98
