algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_loss_or_energy,test_acc,wall_time_s,eval_time_s,optimiser_steps,inference_steps_total
PC,2,256,5000,0,50,12,142.410771,0.736,23.9448,4.5567,5000,250000
PC,2,256,5000,0,50,13,142.252966,0.708,23.9609,4.6168,5000,250000
PC,2,256,5000,0,50,14,142.125664,0.698,24.0036,4.5803,5000,250000
PC,2,256,5000,0,50,15,142.00224,0.697,23.9826,4.5685,5000,250000
PC,2,256,5000,0,50,16,141.891537,0.688,24.4949,4.5824,5000,250000
PC,2,256,5000,0,50,17,141.815397,0.675,23.9408,4.5539,5000,250000
PC,2,256,5000,0,50,18,141.7519,0.666,23.9996,4.5554,5000,250000
PC,2,256,5000,0,50,19,141.774657,0.661,23.866,4.5579,5000,250000
PC,2,256,5000,0,50,20,141.722843,0.654,23.9394,4.6187,5000,250000
PC,2,256,5000,0,50,21,141.684979,0.637,26.6127,4.5994,5000,250000
PC,2,256,5000,0,50,22,141.670162,0.646,24.0808,4.5767,5000,250000
PC,2,256,5000,0,50,23,141.63777,0.647,24.0291,4.6559,5000,250000
PC,2,256,5000,0,50,24,141.556922,0.66,24.0648,4.5708,5000,250000
PC,2,256,5000,0,50,25,141.548187,0.657,23.9281,4.5344,5000,250000
PC,2,256,5000,0,50,26,141.638989,0.654,23.8238,4.6081,5000,250000
PC,2,256,5000,0,50,27,141.552967,0.654,23.8636,4.5541,5000,250000
PC,2,256,5000,0,50,28,141.63852,0.668,23.886,4.5603,5000,250000
PC,2,256,5000,0,50,29,141.641732,0.664,23.9801,4.5674,5000,250000
PC,2,256,5000,0,50,30,141.625839,0.66,23.8792,4.5719,5000,250000
BP,2,256,1000,1,0,1,1.379187,0.806,0.0506,0.0316,16,0
BP,2,256,1000,1,0,2,0.577429,0.874,0.0388,0.0302,16,0
BP,2,256,1000,1,0,3,0.364151,0.865,0.0384,0.03,16,0
BP,2,256,1000,1,0,4,0.246817,0.883,0.0385,0.0301,16,0
BP,2,256,1000,1,0,5,0.174043,0.881,0.0379,0.0299,16,0
BP,2,256,1000,1,0,6,0.116665,0.886,0.0382,0.0301,16,0
BP,2,256,1000,1,0,7,0.078878,0.894,0.0383,0.0298,16,0
BP,2,256,1000,1,0,8,0.04817,0.89,0.0378,0.03,16,0
BP,2,256,1000,1,0,9,0.032923,0.887,0.038,0.0306,16,0
BP,2,256,1000,1,0,10,0.02244,0.895,0.0382,0.0298,16,0
BP,2,256,1000,1,0,11,0.016458,0.893,0.038,0.0301,16,0
BP,2,256,1000,1,0,12,0.012644,0.89,0.0383,0.0299,16,0
BP,2,256,1000,1,0,13,0.010704,0.892,0.0381,0.03,16,0
BP,2,256,1000,1,0,14,0.009094,0.895,0.0382,0.0298,16,0
BP,2,256,1000,1,0,15,0.007648,0.896,0.038,0.0298,16,0
BP,2,256,1000,1,0,16,0.006663,0.895,0.0379,0.03,16,0
BP,2,256,1000,1,0,17,0.005994,0.896,0.038,0.03,16,0
BP,2,256,1000,1,0,18,0.005382,0.897,0.0381,0.0297,16,0
BP,2,256,1000,1,0,19,0.004814,0.896,0.038,0.0299,16,0
BP,2,256,1000,1,0,20,0.004249,0.897,0.0378,0.0297,16,0
BP,2,256,1000,1,0,21,0.003895,0.896,0.0383,0.0306,16,0
BP,2,256,1000,1,0,22,0.003572,0.897,0.0379,0.0296,16,0
BP,2,256,1000,1,0,23,0.003223,0.896,0.0388,0.03,16,0
BP,2,256,1000,1,0,24,0.002997,0.899,0.0382,0.0299,16,0
BP,2,256,1000,1,0,25,0.002725,0.897,0.038,0.0303,16,0
BP,2,256,1000,1,0,26,0.00254,0.899,0.038,0.0302,16,0
BP,2,256,1000,1,0,27,0.002357,0.899,0.0381,0.0299,16,0
BP,2,256,1000,1,0,28,0.002215,0.899,0.0381,0.0298,16,0
BP,2,256,1000,1,0,29,0.002085,0.898,0.0378,0.0302,16,0
BP,2,256,1000,1,0,30,0.001942,0.897,0.038,0.0299,16,0
PC,2,256,1000,1,10,1,244.876767,0.421,1.4376,0.9599,1000,10000
PC,2,256,1000,1,10,2,205.194023,0.585,1.429,0.9614,1000,10000
PC,2,256,1000,1,10,3,190.130714,0.655,1.4336,0.9789,1000,10000
PC,2,256,1000,1,10,4,180.518503,0.706,1.4363,0.9659,1000,10000
PC,2,256,1000,1,10,5,173.832655,0.746,1.4308,0.9648,1000,10000
PC,2,256,1000,1,10,6,168.988129,0.773,1.4303,0.9621,1000,10000
PC,2,256,1000,1,10,7,165.221118,0.775,1.6113,2.2303,1000,10000
PC,2,256,1000,1,10,8,162.34869,0.783,2.5922,1.0752,1000,10000
PC,2,256,1000,1,10,9,160.16493,0.787,1.417,0.965,1000,10000
PC,2,256,1000,1,10,10,158.074829,0.795,1.4465,0.9868,1000,10000
PC,2,256,1000,1,10,11,156.452293,0.793,1.4621,1.008,1000,10000
PC,2,256,1000,1,10,12,154.986769,0.794,1.4558,0.9717,1000,10000
PC,2,256,1000,1,10,13,153.743334,0.79,1.4568,0.9784,1000,10000
PC,2,256,1000,1,10,14,152.610556,0.792,1.457,0.9812,1000,10000
PC,2,256,1000,1,10,15,151.707675,0.787,1.4581,0.994,1000,10000
PC,2,256,1000,1,10,16,150.90033,0.782,1.4561,0.9928,1000,10000
PC,2,256,1000,1,10,17,150.244765,0.78,1.454,0.9747,1000,10000
PC,2,256,1000,1,10,18,149.648226,0.783,1.4474,0.9758,1000,10000
PC,2,256,1000,1,10,19,148.996239,0.779,1.451,0.9678,1000,10000
PC,2,256,1000,1,10,20,148.543569,0.769,1.4465,0.9876,1000,10000
PC,2,256,1000,1,10,21,148.078448,0.762,1.4464,0.9684,1000,10000
PC,2,256,1000,1,10,22,147.655573,0.765,1.4653,0.9937,1000,10000
PC,2,256,1000,1,10,23,147.204571,0.756,1.444,0.9672,1000,10000
PC,2,256,1000,1,10,24,146.774046,0.754,1.4424,0.9677,1000,10000
PC,2,256,1000,1,10,25,146.360806,0.75,1.4449,0.9722,1000,10000
PC,2,256,1000,1,10,26,145.981528,0.744,1.4417,0.9667,1000,10000
PC,2,256,1000,1,10,27,145.696023,0.743,1.4419,0.9703,1000,10000
PC,2,256,1000,1,10,28,145.502384,0.741,1.4407,0.9662,1000,10000
PC,2,256,1000,1,10,29,145.305344,0.739,1.4387,0.9675,1000,10000
PC,2,256,1000,1,10,30,145.024932,0.738,1.4386,0.9818,1000,10000
PC,2,256,1000,1,20,1,240.362972,0.636,2.2695,1.8969,1000,20000
PC,2,256,1000,1,20,2,197.42463,0.741,2.2676,1.8708,1000,20000
PC,2,256,1000,1,20,3,181.878054,0.782,2.2652,1.8706,1000,20000
PC,2,256,1000,1,20,4,172.46164,0.791,2.2638,1.857,1000,20000
PC,2,256,1000,1,20,5,166.495588,0.802,2.2548,1.8953,1000,20000
PC,2,256,1000,1,20,6,162.129551,0.81,2.2559,1.8584,1000,20000
PC,2,256,1000,1,20,7,158.486942,0.807,2.2511,1.8594,1000,20000
PC,2,256,1000,1,20,8,155.845512,0.81,2.2555,1.8595,1000,20000
PC,2,256,1000,1,20,9,154.561486,0.805,2.2539,1.8628,1000,20000
PC,2,256,1000,1,20,10,156.705879,0.803,2.2558,1.8633,1000,20000
PC,2,256,1000,1,20,11,160.256521,0.782,2.2554,1.8593,1000,20000
PC,2,256,1000,1,20,12,158.945471,0.762,2.2588,2.1077,1000,20000
PC,2,256,1000,1,20,13,154.876105,0.76,3.1593,2.109,1000,20000
PC,2,256,1000,1,20,14,153.214879,0.762,2.6929,2.0153,1000,20000
PC,2,256,1000,1,20,15,150.285408,0.771,2.5972,1.9739,1000,20000
PC,2,256,1000,1,20,16,148.711357,0.775,2.328,2.0053,1000,20000
PC,2,256,1000,1,20,17,146.719026,0.773,2.5651,1.9142,1000,20000
PC,2,256,1000,1,20,18,144.967413,0.775,2.3281,2.1285,1000,20000
PC,2,256,1000,1,20,19,144.154998,0.781,2.9414,2.1657,1000,20000
PC,2,256,1000,1,20,20,143.524535,0.777,2.9254,1.9798,1000,20000
PC,2,256,1000,1,20,21,143.043449,0.774,2.3241,1.9013,1000,20000
PC,2,256,1000,1,20,22,142.80894,0.781,2.3724,1.9407,1000,20000
PC,2,256,1000,1,20,23,142.561999,0.776,2.3257,1.9035,1000,20000
PC,2,256,1000,1,20,24,142.499864,0.777,2.3471,1.9341,1000,20000
PC,2,256,1000,1,20,25,142.381211,0.778,2.329,1.8917,1000,20000
PC,2,256,1000,1,20,26,142.198831,0.783,2.3353,1.8872,1000,20000
PC,2,256,1000,1,20,27,142.024502,0.78,2.3262,1.8737,1000,20000
PC,2,256,1000,1,20,28,141.941398,0.779,2.3181,1.8769,1000,20000
PC,2,256,1000,1,20,29,141.811813,0.777,2.3095,1.8711,1000,20000
PC,2,256,1000,1,20,30,141.75835,0.774,2.3056,1.8989,1000,20000
PC,2,256,1000,1,50,1,240.036229,0.684,4.8361,4.6282,1000,50000
PC,2,256,1000,1,50,2,196.720837,0.783,4.855,4.5941,1000,50000
PC,2,256,1000,1,50,3,180.966695,0.805,4.8459,4.6857,1000,50000
PC,2,256,1000,1,50,4,171.89747,0.804,4.8307,4.5868,1000,50000
PC,2,256,1000,1,50,5,166.048854,0.796,4.8204,4.578,1000,50000
PC,2,256,1000,1,50,6,161.54578,0.785,4.8182,4.6468,1000,50000
PC,2,256,1000,1,50,7,158.051477,0.794,4.921,4.6053,1000,50000
PC,2,256,1000,1,50,8,155.589748,0.797,4.8488,4.5819,1000,50000
